dataset,run,fold,classifier,percent_correct,training_time_ms,testing_time_ms
pima,1,1,MykNN1,66.23376623376623,9.003639221191406,3.565549850463867
pima,1,2,MykNN1,77.92207792207793,8.933067321777344,3.6995410919189453
pima,1,3,MykNN1,68.83116883116884,9.769678115844727,3.3376216888427734
pima,1,4,MykNN1,67.53246753246754,7.995843887329102,3.301858901977539
pima,1,5,MykNN1,75.32467532467533,24.811506271362305,3.3724308013916016
pima,1,6,MykNN1,66.23376623376623,8.766889572143555,3.4787654876708984
pima,1,7,MykNN1,62.33766233766234,8.714914321899414,3.432750701904297
pima,1,8,MykNN1,64.93506493506493,8.102655410766602,3.4525394439697266
pima,1,9,MykNN1,71.05263157894737,8.752822875976562,3.498077392578125
pima,1,10,MykNN1,76.31578947368422,8.227348327636719,3.445863723754883
pima,2,1,MykNN1,68.83116883116884,8.232831954956055,3.4885406494140625
pima,2,2,MykNN1,74.02597402597402,8.907556533813477,3.51715087890625
pima,2,3,MykNN1,55.84415584415584,8.651256561279297,3.499269485473633
pima,2,4,MykNN1,68.83116883116884,8.310556411743164,3.3714771270751953
pima,2,5,MykNN1,75.32467532467533,14.190435409545898,5.272150039672852
pima,2,6,MykNN1,67.53246753246754,11.080503463745117,15.722036361694336
pima,2,7,MykNN1,68.83116883116884,8.90970230102539,3.419160842895508
pima,2,8,MykNN1,68.83116883116884,8.635520935058594,3.5724639892578125
pima,2,9,MykNN1,73.68421052631578,8.019447326660156,3.353118896484375
pima,2,10,MykNN1,63.1578947368421,7.95435905456543,3.370523452758789
pima,3,1,MykNN1,72.72727272727273,8.231163024902344,3.3812522888183594
pima,3,2,MykNN1,62.33766233766234,8.208751678466797,3.4363269805908203
pima,3,3,MykNN1,72.72727272727273,8.624792098999023,3.3648014068603516
pima,3,4,MykNN1,75.32467532467533,8.151054382324219,3.4165382385253906
pima,3,5,MykNN1,67.53246753246754,8.06283950805664,3.450155258178711
pima,3,6,MykNN1,68.83116883116884,8.076667785644531,3.412961959838867
